VP,Condition,Trial,CurrentTarget,Time,State,PlayerPositionX,PlayerPositionY,PlayerPositionZ, PlayerRotationX, PlayerRotationY, PlayerRotationZ, VRCameraPositionX, VRCameraPositionY, VRCameraPositionZ, VRCameraRotationX, VRCameraRotationY, VRCameraRotationZ,GazeObject
952,Normal,1,Right,20:34:29.752,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.765,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.775,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.788,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.797,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.812,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.821,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.836,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.845,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.859,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.871,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.879,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.894,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.907,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.916,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.928,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.936,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.951,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.958,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.973,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.981,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.995,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.003,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.018,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.026,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.042,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.048,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.064,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.071,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.086,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.095,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.110,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.117,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.133,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.140,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.156,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.163,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
